    w                         logW                       A                         logA                     psi
  1.00000000000000002E-002  -2.0000000000000000        10.113964133705050        20.098428183949892      -0.14399999999968163     
  1.77827941003892293E-002  -1.7500000000000000        10.133541379821857        20.115224905112953       0.43200000000013006     
  3.16227766016837913E-002  -1.5000000000000000        10.397859272236513        20.338878705296622      -0.24000000000033347     
  5.62341325190349114E-002  -1.2500000000000000        10.938926038332838        20.779493718703364       2.4480000000001496     
  0.10000000000000001       -1.0000000000000000        10.604021687548340        20.509412145787202       2.304000000000144     
  0.17782794100389229      -0.75000000000000000        15.030557701196939        23.539501903233639      -0.28799999999941589     
  0.31622776601683794      -0.50000000000000000        26.565856021797309        28.486476291648238       2.735999999999933
  0.495                    -0.30539480000000000        985.45424000000000        59.872729000000000       8.639999999999986     
  0.56234132519034907      -0.25000000000000000        78.606898590546422        37.909213233342122       -83.807999999999154     
   1.0000000000000000        0.0000000000000000        8.5290815948185923        18.618045383547297       -180.14400000000003     
