  w                         logW                       A                         logA                     psi
  1.00000000000000002E-002  -2.0000000000000000        1001.1336867302381        60.009841500287315       -88.703999999999823     
  1.77827941003892293E-002  -1.7500000000000000        563.22755325661115        55.013677849336098       -88.127999999999545     
  3.16227766016837913E-002  -1.5000000000000000        317.11218162159503        50.024258508748929       -86.040000000000092     
  5.62341325190349114E-002  -1.2500000000000000        179.09089439719770        45.061470107423922       -83.808000000000177     
  0.10000000000000001       -1.0000000000000000        102.05967322724916        40.177083469649958       -79.056000000000495     
  0.17782794100389229      -0.75000000000000000        59.729872730234099        35.523831787452430       -69.983999999999369     
  0.31622776601683794      -0.50000000000000000        37.446658681525591        31.468261444226698       -57.600000000000541     
  0.56234132519034907      -0.25000000000000000        26.779838557629787        28.556159090755152       -41.615999999999765     
   1.0000000000000000        0.0000000000000000        22.371411472635653        26.993867715404988       -26.352000000000235     
   1.7782794100389228       0.24999999999999997        20.780917092084085        26.353294193819579       -15.407999999999790     
   3.1622776601683795       0.50000000000000000        20.251024801308951        26.128940110808397       -9.2159999999992568     
   5.6234132519034912       0.75000000000000000        20.080703918224337        26.055578653963885       -5.6159999999961521     
   10.000000000000000        1.0000000000000000        20.026537788834652        26.032117488946387       -2.5919999999944650     
   17.782794100389228        1.2500000000000000        20.008728164741164        26.024389680181240       -1.5839999999978298     
   31.622776601683793        1.5000000000000000        20.002923380698373        26.021869428605775      -0.86400000000157140     
   56.234132519034908        1.7500000000000000        20.001017493540161        26.021041793869315      -0.14399999999825769     
   100.00000000000000        2.0000000000000000        20.000265200874374        26.020715087792354      -0.14399999999942109     
